type,n,density,processes,threads,total_time,generation_time,comm_total,comm_dist,comm_aggr,computation_total,computation_sort,computation_mult,sum_check
CSR_apr_Hybrid,12995,0.15,8,4,47.583,1.793,2.958,0.333,2.625,42.832,2.144,40.687,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,48.614,1.807,2.991,0.323,2.668,43.816,1.944,41.872,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,46.950,1.757,2.925,0.324,2.601,42.268,1.411,40.857,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,47.602,1.760,3.129,0.396,2.733,42.714,1.977,40.737,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,48.195,1.768,3.327,0.330,2.996,43.101,2.140,40.960,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,48.775,1.754,3.025,0.389,2.635,43.996,1.962,42.034,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,78.392,1.787,4.531,0.602,3.929,72.074,2.040,70.033,1493498344163.000
CSR_apr_Hybrid,12995,0.15,8,4,46.531,1.777,3.130,0.316,2.813,41.624,1.980,39.645,1493498344163.000
CSR_apr_Hybrid,16384,0.15,8,8,52.726,2.413,4.997,0.486,4.511,45.316,1.695,43.621,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,63.371,3.155,8.347,0.768,7.579,51.869,2.308,49.561,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,75.352,3.231,5.999,0.854,5.145,66.122,2.248,63.874,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,52.325,2.391,4.772,0.437,4.335,45.161,1.651,43.510,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,57.221,2.730,4.379,0.404,3.975,50.112,1.857,48.255,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,50.563,2.520,5.806,0.498,5.308,42.237,1.683,40.555,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,65.606,3.207,8.192,0.746,7.446,54.207,2.357,51.850,2993442628723.000
CSR_apr_Hybrid,16384,0.15,8,8,70.636,2.580,6.192,0.433,5.759,61.863,1.871,59.992,2993442628723.000
